Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients,stress_relief,mood_boost,anxiety_reduction,sleep_improvement,cognitive_function
Soya granules,2,"North,South,East,West",Dry Curry,Veg,soy ,3 small,315,331,21.0,42.0,9.0,19.0,0.465,Common salt-15 gms; Ginger-1 slice; Black pepper-7 gms; CURRY LEAVES-5 gms; CORIANDER-30 gms; Cooking oil-15 gms; Onion-60 gms; Ginger-7 gms; Cumin seeds-7 gms; Chillies-4 gms; CORIANDER LEAVES-15 gms; Soya Granules-150 gms,0.3127276628300684,0.05743751468170073,0.24265990790255498,0.05251432933991074,0.2970902781259717
Chicken Rice,5,"North,South,East,West","Lunch,Dinner",Non-veg,soy ,1 medium bowl,422,352,15.0,51.0,10.0,2.0,1.574,Onion-120 gms; Ginger-5 gms;Garlic-5 gms; Cooking oil-2 gms; Common salt-15 gms; Black pepper-15 gms; Rice-60 gms; Chicken-200 gms,0.2816052770070311,0.0290251350716467,0.2051299762329174,0.0268651632605121,0.2842050578762131
Gravy tofu,2,"North,East,West",Dry Curry,Veg,soy ,1 medium katori,592,503,18.0,22.0,35.0,7.0,1.57565,Common salt-15 gms; Black pepper-15 gms; Cooking oil-30 gms; Onion-100 gms;Garlic-2 gms; Ginger-5 gms; Capsicum-100 gms; MUSHROOM-250 gms; soya sauce-15 gms; Tofu-150 gms,0.2515345479697124,0.033622151750058726,0.1803185531788473,0.02849788583509514,0.30164076854786215
Masala Tofu,2,"North,East,West",Dry Curry,Veg,soy ,1 medium katori,317,146,10.0,15.0,4.0,5.0,0.6667,Common salt-15 gms; Onion-10 gms;Garlic-2 gms; Ginger-7 gms; Tomato-120 gms; CORIANDER leaves-15 gms; TURMERIC powder-7 gms; Tofu-150 gms,0.30241045009860246,0.0207605120977214,0.21370729352347,0.01809314070941978,0.300101277499641
Soya Roti Roll (Broccoli & Tofu),0,"North,East,West","Breakfast,Lunch,Dinner",Veg,soy ,1 medium,440,550,36.0,27.0,33.0,12.0,0.83775,Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Soya flour-75 gms; Broccoli-125 gms; Tofu-150 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms,0.2788688690237237,0.061171952078928823,0.21157664884135474,0.04982522903453136,0.3237127826107273
Smoothie (Soya Milk),12,Continental,Beverages,Veg,soy ,1 glass,509,131,5.0,7.0,9.0,3.0,0.179,Papaya-150 gms; ORANGE-90 gms; Almond-4 gms; PUMPKIN SEED-15 gms; Soya Milk-250 gms,0.2893325228599011,0.010977801268498942,0.19742758467023172,0.009611815832746066,0.3008252507108895
Tofu Salad,0,"Continental,North,South,East,West",Appetizer,Veg,soy ,1 small bowl,169,66,3.0,6.0,2.0,6.0,0.1688,CUCUMBER-62 gms; Capsicum-62 gms; CORIANDER-15 gms; Lemon-15 gms; Tofu-15 gms,0.30348769565539585,0.012768851303735024,0.21074821746880573,0.01206553911205074,0.29756318097211076
Soya Chunks Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,soy ,1 small bowl,1202,333,22.0,50.0,3.0,18.0,1.4037,CUCUMBER-250 gms; carrot-250 gms; Tomato-120 gms; Capsicum-250 gms; Lemon-5 gms; Common salt-7 gms; Black pepper-15 gms; Parsley-5 gms; Soya Chunks-300 gms,0.31923862997546226,0.05868992248062016,0.25083823529411764,0.05391989664082688,0.2897566717156305
Noodles Tofu Sizzler,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium,452,381,12.0,73.0,3.0,7.0,0.91945,Common salt-7 gms; Lettuce Leaf-75 gms; Capsicum-75 gms; Onion-70 gms; Mint leaves-15 gms; Ginger-15 gms; Garlic-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Rice Noodles-150 gms,0.2892041958915348,0.03696041813483674,0.2208319221628045,0.03731254404510219,0.2636966419316139
Nutri matar (soya) Vegetable,2,"North,East,West",Dry Curry,Veg,soy ,1 small bowl,352,204,11.0,23.0,7.0,6.0,0.4773,Peas-62 gms; Tomato-120 gms; Onion-50 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Soya Chunks-75 gms,0.2968298787767008,0.024790697674418605,0.21212254901960784,0.022276485788113698,0.2968117183377154
Soya Sprouts Salad,0,"Continental,North,South,East,West",Appetizer,Veg,soy ,2 small bowl,952,145,8.0,25.0,1.0,7.0,0.6897,CUCUMBER-250 gms; carrot-250 gms; Capsicum-250 gms; Lemon-5 ml; Common salt-7 gms; Black pepper-15 gms;Parsley-15 gms; Brussels sprouts-15 gms; Soyabean-150 gms,0.30568643934230477,0.023294456189805027,0.2194094622697564,0.02200035236081748,0.2922172785657741
Lettuce wrap with Vegetables,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium,245,173,8.0,19.0,5.0,7.0,0.3378,MUSHROOM-60 gms; Spinach-60 gms; Onion-30 gms; Capsicum-75 gms; carrot-1 gms; Garlic-5 gms; Common salt-0.5 gms; Black pepper-0.5 gms;Parsley-4 gms,0.2989768629191145,0.02213166549213061,0.21352710932857993,0.020449964763918253,0.2935040080723348
BEANS/CHINESE BEANS,2,"North,East,West,South",Dry Curry,Veg,soy ,1 medium katori,300,171,5.0,11.0,11.0,8.0,0.31725,Beans-125 gms; Onion-100 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Common salt-15 gms,0.2899204412282661,0.018697439511393,0.20316696375519905,0.01758985200845666,0.2972012508463124
Vegetables In Black Bean Sauce,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium katori,194,147,9.0,19.0,1.0,12.0,0.14485,Garlic-1 gms; Ginger-1 gms; Capsicum-15 gms; carrot-1 gms; MUSHROOM-1 gms; Zucchini-50 gms; Onion-80 gms; soya sauce-15 gms; Common salt-15 gms; Black pepper-15 gms,0.3128714260955418,0.030167019027484143,0.22918092691622105,0.028121681935635422,0.2937072015671977
Vietnamese cold Spring Roll,0,Continental,Appetizer,Veg,soy ,2 number,264,42,3.0,7.0,1.0,2.0,0.2026,Lettuce Leaf-20 gms; Mint leaves-15 gms; CORIANDER-15 gms; carrot-62 gms; Capsicum-62 gms; CUCUMBER-62 gms; soya sauce-4 gms; VINEGAR-4 gms; Rice paper-20 gms,0.30169907862130496,0.007407094197791873,0.2052743612596554,0.006768381489311722,0.3000316985379159
Soya wrap,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium,1003,246,16.0,29.0,6.0,15.0,0.924,Lettuce leaf-60 gms; Tomato-250 gms; CUCUMBER-250 gms; Capsicum-250 gms; Cumin seeds-4 gms; Chillies-4 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-5 gms; Soya-150 gms,0.3117872387408459,0.04390803382663848,0.2346726827094474,0.03996323702137656,0.29753860404140675
Shredded Chicken with Soya Sauce,8,Continental,Gravy,Non-veg,soy ,4 small bowl,405,220,22.0,7.0,13.0,0.0,1.98,HONEY-15 gms; Common salt-15 gms; Chicken-300 gms; soya sauce-30 gms; Vinegar-15 gms; Sesame Oil-15 gms; Garlic-15 gms,0.29560752978417754,0.025356589147286824,0.2048823529411765,0.01780878552971576,0.3230091772154139
Rice Flour Wrap with Tofu And Veggie,0,"North,East,West","Lunch,Dinner",Veg,soy ,2 medium,610,281,7.0,44.0,7.0,3.0,1.7505,Rice Flour-150 gms;  Common salt-15 gms; Cumin seeds-15 gms; Ajwain-15 gms; Red chilli Powder-15 gms; Olive oil-15 gms; Tofu-350 gms; Capsicum-10 gms; Onion-10 gms; CABBAGE-10 gms; Coriander Powder-5 gms,0.28177415412986173,0.020330162085976038,0.20255057932263815,0.020627084801503406,0.27690102661979477
Soya Tikki,6,"North,East,West",Appetizer,Veg,soy ,2 medium,1070,275,28.0,40.0,1.0,11.0,0.8665,Soya Granules-150 gms; POTATO-700 gms; Onion-125 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Common salt-15 gms; Olive oil-15 gms,0.32533368436331755,0.053575170307728445,0.24817208853238265,0.04597733145407565,0.30724409184012297
Soya Flour Gobhi Stuffed Paratha,1,"North,East,West","Lunch,Dinner",Veg,soy ,2 number,465,238,20.0,17.0,10.0,7.0,0.3975,Ginger powder-15 gms; Chillies-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Coriander leaves-15 gms; Soya flour-250 gms; Cauliflower-150 gms; ,0.303400678537167,0.0348349776838149,0.2192650772430184,0.028660441625557906,0.3120067195223435
Soya Flour Cheela,1,"North,East,West","Lunch,Dinner,Breakfast",Veg,soy ,1 medium,685,582,35.0,36.0,33.0,11.0,0.7965,Soya flour-250 gms;Onion-125 gms; Tomato  tomato; Capsicum-250 gms; Chillies-15 gms; Ginger powder-15 gms; Common salt-15 gms; Olive oil-15 gms,0.2737547934391525,0.06043634014564247,0.20874962863933455,0.05003464881371858,0.3166424597244132
Tofu Tikka Saute in Green Chutney,0,"North,East,West",Appetizer,Veg,soy ,1 small katori,385,449,29.0,15.0,29.0,10.0,1.014,Tofu-250 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Chillies-15 gms; Ginger-15 gms;Garlic-15 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Common salt-15 gms; Olive oil-15 gms,0.28022952238810594,0.04843222926943857,0.20635041592394532,0.03885576697204604,0.3216802271885707
Avocado Toast 2,0,Continental,Breakfast,Veg,soy ,1 medium,530,531,10.0,39.0,38.0,14.0,0.559,Avocado-180 gms; Bread-50 gms; Black Pepper-15 gms; Tomato-90 gms; Onion-150 gms; Lemon-15 gms; Olive oil-15 gms;Parsley-15 gms,0.244253038985619,0.037911674888419074,0.17933229352347002,0.03679469109701668,0.2869114552736742
Crispy Prawn Rolls,0,East,Appetizer,Non-veg,shellfish ,1 small,184,124,10.0,5.0,6.0,1.0,0.66725,Shrimp-75 gms; Onion-15 gms; soya sauce-15 gms; Common salt-15 gms;Black Pepper-4 gms; Cooking oil-15 gms; Lemon-15 gms; Garlic powder-15 gms; Ginger powder-15 gms,0.2971488801267206,0.013266972046041813,0.20382167260843734,0.00995360582569885,0.3066533009545702
Prawn Masala Dumpling,6,Continental,Snacks,Non-veg,shellfish ,3 number,105,75,4.0,10.0,2.0,0.0,0.246,Shrimp-30 gms; Onion-20 gms;  Cooking oil-15 gms; Wheat-40 gms,0.29673017392375034,0.006301620859760395,0.20142245989304816,0.005493070237256285,0.2979041981148804
Sesame Chicken Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Non-veg,sesame ,1 medium bowl,495,274,27.0,17.0,9.0,3.0,0.8125,Chicken-100 gms; Lettuce Leaf-80 gms; CABBAGE-80 gms; carrot-50 gms; CUCUMBER-50 gms; Capsicum-50 gms; Onion-60 gms; Common salt-15 gms; Ginger-5 gms;Garlic-5 gms,0.30559727016079297,0.03691578576462297,0.22142758467023171,0.02819579516091144,0.31735474531267327
Fish Fingers (Grilled / Roasted ),6,Continental,Appetizer,Non-veg,fish,1 medium,453,512,27.0,51.0,19.0,8.0,1.18375,fish-70 gms; Turmeric powder-4 gms; Lemon-7 gms; Ginger-15 gms; Garlic-15 gms; Common salt-7 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Rice Flour-150 gms; Besan-125 gms,0.28111284768785894,0.050449377495889125,0.21540225787284611,0.04392576932111816,0.29299782847138045
Prawn Cutlet,6,Continental,Appetizer,Non-veg,seafood ,3 small,117,34,4.0,3.0,0.0,0.0,0.3904,Shrimp-60 gms; POTATO-20 gms; Onion-7 gms; Turmeric powder-4 gms;Lemon-4 gms; Coriander leaves-15 gms; Common salt-7 gms,0.3023007091484638,0.004945031712473573,0.2043636363636364,0.0036842847075405217,0.3016923273878367
Rice milk,12,Continental,Beverages,Veg,rice ,1 glass,129,214,5.0,47.0,0.0,2.0,0.5004,Common salt-4 gms; Rice-125 gms,0.29123234522262453,0.017340850364106177,0.20892676767676768,0.018558844256518676,0.27396721569777427
CHICKEN SALAMI SALAD,0,Continental,"Lunch,Dinner",Non-veg,pork ,1 small bowl,422,578,53.0,7.0,37.0,0.0,1.7388,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Lemon-15 gms; Coriander leaves-0.5 gms; Mint leaves-7 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms,0.2792123229035638,0.05917477096546863,0.20340641711229945,0.040354240075170314,0.35590860302637894
CHICKEN SAUSAGES SALAD,0,Continental,"Lunch,Dinner",Non-veg,pork ,1 small bowl,424,593,54.0,10.0,37.0,0.0,1.7416,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Lemon-15 gms; Coriander leaves-7 gms;Mint leaves-7 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms,0.27925407961344756,0.06084707540521493,0.20449732620320857,0.04185670660089265,0.3552648437188737
Chicken Salami Toast,9,Continental,"Snacks,Breakfast",Non-veg,pork ,2 medium,452,138,8.0,20.0,2.0,1.0,0.6036,Bread-60 gms; Chicken Salami-10 gms;Onion-125 gms; Tomato-90 gms; Capsicum-150 gms; Red chilli Powder-15 gms; Turmeric powder-1 gms; Common salt-1 gms,0.2978662844284945,0.013992130608409679,0.2075222073677956,0.012375029363401457,0.29483677265972213
Sabudana Cutlet/Tikki,6,"North, South",Appetizer,Veg,peanut ,1 number,113,372,5.0,68.0,8.0,5.0,0.1815,Sabudana-62 gms; Ginger powder-7 gms; Coriander leaves-7 gms; Red Chilli Powder-7 gms; Common salt-15 gms; Cooking Oil-15 gms,0.27308842588224147,0.02557728447263331,0.20237039512774807,0.02815186751233263,0.25979947505622397
Chicken Satay,0,Continental,Appetizer,Non-veg,peanut ,4 number,651,473,35.0,9.0,34.0,2.0,2.1717,Chicken-60 gms; Lemon-15 gms; Turmeric powder-15 gms; Cumin seeds-15 gms; Yoghurt-15 gms; Garlic powder-15 gms; Red chilli Powder-7 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Common salt-7 gms; Olive oil-15 gms; Peanuts-200 gms; milk-250 gms ; Ginger powder-7 gms,0.2706594050193447,0.04270378200610758,0.19165404040404044,0.030557904627672067,0.33600315347303294
Coconut Chutney,13,South,"Breakfast,Lunch,Dinner",Veg,peanut ,2 tbsp,37,60,1.3,4.9,4.4,1.7,0.3452,Salt-0.34 gms; Chickpeas-6.75 gms; Chillies-0.45 gms; Cooking Oil-1 gms; Mustard-0.4 gms; Coconut-9 gms ,0.2939436942489231,0.004728905332393705,0.1978989824717766,0.004572715527366691,0.2989864600961824
Sabudana Khichdi,9,"North,South",Breakfast,Veg,peanut ,1 small bowl,125,156,3.0,22.0,5.0,9.0,0.1758,Tapioca-62 gms; Common salt-15 gms; Cumin seeds-4 gms; Curry leaves-5 gms; POTATO-10 gms; Lemon-7 gms; CORIANDER-15 gms; Cooking oil-7 gms,0.2964388820822563,0.020036293164200143,0.2115447860962567,0.020366572703782004,0.287203298923871
Sabudana Vada,11,"North,East,West",Snacks,Veg,peanut ,10 medium,202,32,0.0,3.0,2.0,1.0,0.345,Tapioca-125 gms; POTATO-10 gms; Cumin seeds-7 gms; CORIANDER-15 gms; Common salt-15 gms; Lemon-15 gms; Cooking oil-15 gms,0.29638332489077046,0.0019702842377260985,0.1987949346405229,0.0021640826873385016,0.2976890354024559
Masala Onion Salad,0,"North,South,East,West",Appetizer,Veg,onion ,1 small bowl,180,48,1.0,8.0,0.0,2.0,0.138,Chillies-15 gms; Common salt-7 gms; Coriander leaves-7 gms; Lemon-15 gms; Cumin seeds-7 gms; Chillies-4 gms; Onion-125 gms,0.2997641770271836,0.005419074465586093,0.20456313131313134,0.005572233967582805,0.2939399702159834
"BELL PEPPER, ONION & TOMATO VegETABLE",0,Continental,"Lunch,Dinner",Veg,onion ,1 medium katori,555,250,5.0,18.0,16.0,9.0,0.774,Capsicum-70 gms; Onion-90 gms; Tomato-120 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Common salt-15 gms; Capsicum-200 gms,0.2791379014927151,0.02144291754756871,0.1975501336898396,0.02078752642706131,0.29158796876083126
Roasted Makhana (Foxnuts),11,East,Snacks,Veg,nut ,1 medium katori,299,139,5.0,28.0,1.0,3.0,0.388,Makhana-250 gms; Common salt-15 gms;Black Pepper-4 gms; Chat Masala-15 gms; Cumin seeds-15 gms,0.29749953463814927,0.015047568710359407,0.20919229055258468,0.015038172421893353,0.28774750956150347
Hummus,0,Continental,"Lunch,Dinner",Veg,nut ,1 tbsp,122,349,13.0,30.0,18.0,9.0,0.2062,Gram dal-60 gms;Garlic-10 gms; Lemon-15 gms; Common salt-7 gms; Olive oil-15 gms; Cumin Powder-15 gms,0.278989431606825,0.03249577167019027,0.2033362299465241,0.02970648343904158,0.2928257883473398
Almond Flour Wrap,0,Continental,"Lunch,Dinner",Veg,nut ,1 medium,291,640,23.0,23.0,53.0,12.0,0.7818,Common salt-15 gms; Onion-1 gms;Roti-100 gms; Egg-130 gms ; Garlic Powder-15 gms;  Black pepper-15 gms; Olive oil-15 gms,0.23287876757179637,0.046214940098661034,0.1679830659536542,0.03933709184871975,0.3147165369261239
Oats Porridge,9,Continental,Breakfast,Veg,nut ,2 medium katori,430,174,8.0,27.0,5.0,4.0,0.874,Oats-150 gms; Milk-250 gms; Cinnamon-15 gms; Common salt-15 gms ,0.29524896488159164,0.019515386422363168,0.2083187759952466,0.018350481559783888,0.29333987866395567
MIX NUTS RAITA,4,Continental,Appetizer,Veg,nut ,1 medium katori,313,230,10.0,12.0,16.0,5.0,0.7974,Yoghurt-250 gms; Almond-10 gms; RAISINS-4 gms; Common salt-4 gms; Coriander leaves-15 gms; Black pepper-15 gms; Cumin seeds-15 gms,0.2822817208290317,0.02017911674888419,0.1960602346999406,0.017317946910970168,0.30396146601932306
Rajma Kebab,6,"North,East,West",Appetizer,Veg,nut ,4 number,184,92,5.0,12.0,3.0,5.0,0.1742,Rajma-80 gms; carrot-15 gms; Potato-30 gms; Peas-15 gms; Common salt-7 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Cumin seeds-15 gms,0.30158124893767324,0.014724571294338736,0.20972333630421866,0.013681583274606529,0.29840276822591105
Bhel (no papri),11,"North,East,West",Snacks,Veg,nut ,1 medium katori,520,935,21.0,196.0,5.0,11.0,1.267,Rice-250 gms; Onion-15 gms; Tomato-120 gms; Cucumber-15 gms; carrot-15 gms; Potato-15 gms; Coriander leaves-30 gms; Common salt-15 gms; Lemon-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms,0.25785012398322993,0.0761713648108997,0.23465337195484254,0.08119649988254639,0.19207376252379793
Veg Seeds Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,nut ,1 medium bowl,293,288,14.0,23.0,15.0,5.0,0.19085,Lettuce Leaf-80 gms; CUCUMBER-60 gms; Onion-30 gms; carrot-30 gms; Capsicum-30 gms; Sunflower seeds-15 gms; PUMPKIN SEED-15 gms;Garlic-3 gms; Common salt-15 gms; Black pepper-15 gms,0.2837158182534165,0.026674536058256988,0.20189445929887107,0.023069415081042988,0.3002440993707664
Steam Vegetable Salad,0,"Continental,North,South,East,West",Appetizer,Veg,nut ,1 medium bowl,577,88,3.0,14.0,0.0,5.0,0.4714,carrot-60 gms; Lemon-15 gms; Zucchini-195 gms; Capsicum-150 gms; Onion-120 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Red chilli Powder-7 gms; Coriander Powder-7 gms; Coriander leaves-1 gms,0.3026728767383887,0.012930350011745362,0.21195328282828285,0.012743833685694152,0.29101115751718154
FRUIT & NUTS (WALNUT & ALMOND) SALAD,0,"Continental,North,South,East,West",Breakfast,Veg,nut ,1 small bowl,292,320,7.0,45.0,12.0,10.0,0.2132,Apple-90 gms; Grapes-62 gms; Almond-5 gms; PUMPKIN-15 gms; Sunflower seeds-15 gms; strawberry-105 gms,0.2815658692285601,0.030246182757810665,0.20735041592394535,0.030607704956542164,0.27785292086947905
CHICKEN SALAD WITH ALMOND HONEY MUSTARD DRESSING,0,Continental,"Lunch,Dinner",Non-veg,nut ,1 small bowl,437,982,112.0,8.0,55.0,2.0,1.7898,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Coriander leaves-7 gms; Mint leaves-2.5 gms; Almond-5 gms; HONEY-0.5 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms,0.30372670588097267,0.12650998355649518,0.24477168746286393,0.08629950669485553,0.42334363754922993
Almond Soup,0,Continental,Appetizer,Veg,nut ,4 medium bowl,1075,223,8.0,12.0,18.0,6.0,0.6586,Common salt-15 gms; Almonds-250 gms; Onion-125 gms; garlic-5 gms; Celery-150 gms; Broth-500 gms; thyme-15 gms; Parsley-15 gms,0.27932011463774076,0.019386187455954898,0.1926733511586453,0.0172522903453136,0.30441518471220164
ALMOND MUSHROOM SOUP,0,Continental,Appetizer,Veg,nut ,1 medium bowl,187,192,8.0,7.0,15.0,3.0,0.5175,Almond-10 gms; MUSHROOM-62 gms; Common salt-15 gms; Milk-100 gms,0.28152711066369573,0.014250528541226215,0.1918767825311943,0.011793634014564248,0.30509143166607244
Oats Smoothie,12,Continental,Beverages,Veg,nut ,1 glass,500,224,9.0,36.0,6.0,5.0,0.995,Banana-100 gms; Oats-150 gms; Almond Milk-250 gms,0.29253079354614775,0.023739370448672772,0.2096752079619727,0.022792224571294338,0.28842217829847494
Smoothie (Almond Milk),12,Continental,Beverages,Veg,nut ,1 cup,615,192,4.0,39.0,5.0,9.0,1.1905,Chia Seeds-15 gms; Almond Milk-250 gms; Pineapple-100 gms; Mango-250 gms,0.29475728000415924,0.024421775898520084,0.2126356951871658,0.02548661028893587,0.283112822040404
Kala Chana Soup,0,"North,South,East,West",Appetizer,Veg,nut ,4 medium bowl,614,115,5.0,18.0,2.0,5.0,0.3505,Cumin seeds-15 gms; Chickpeas-350 gmsTurmeric powder-15 gms; ;Onion-160 gms; Tomato-0.5 medium tomato; Garlic powder-7 gms; Ginger powder-7 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Coriander leaves-15 gms,0.30079670191778385,0.015887361992013155,0.2111939245395128,0.015231970871505754,0.2931572035978968
